Environment,Episode,Robustness
4,0,0.000598666060487911
9,0,0.006051301549293096
2,0,0.003129368387344733
7,0,0.0072386689591738464
2,1,0.00229565460883455
0,0,0.0006872924439743876
2,2,0.004303234135115429
9,1,0.006786340430488433
2,3,0.003911235262804302
7,1,0.0023458060712212916
0,1,0.002826357015316708
9,2,0.0010008948981838836
0,2,0.003635970428997777
8,0,0.009608681646747117
0,3,0.006211253341119209
9,3,0.0008470938667728099
11,0,0.0027417815770844796
6,0,0.006924375508023559
6,1,0.001525222744800013
4,1,0.004393450693534112
9,4,0.009752075787863494
0,4,0.0016936903268919105
6,2,0.0039013422105409375
7,2,0.0015215777391449047
0,5,0.014252098946642009
9,5,0.006156712123756125
8,1,0.004393315034585869
10,0,0.0031159432426573833
2,4,0.00472620553515969
5,0,0.0006847701920900465
11,1,0.0025459483155915903
1,0,0.0015135720478333635
2,5,0.002704003199411595
2,6,0.004935051670591781
5,1,0.0005055153872154661
1,1,0.0008063347814425727
3,0,0.007006909765801471
4,2,0.0027987116500060687
0,6,0.005485241434745776
4,3,0.0058505402614224215
6,3,0.005103103309600872
0,7,0.004057194910385274
2,7,0.0051772090378633135
0,8,0.0022021355861759143
8,2,0.010491657005846927
9,6,0.0011002876400324178
6,4,3.2866467898309826e-05
2,8,0.0027639137127011583
10,1,0.0014266718873420549
8,3,0.0003290046799103545
7,3,0.0005962595512819698
10,2,0.0040547891083882945
11,2,0.0061714963152669985
2,9,0.0016241295090064986
4,4,0.0014326647001751992
5,2,0.0012623147796715153
3,1,0.007558943677127646
6,5,0.002709493899571678
6,6,0.0011546865341776347
5,3,0.00809442857330883
2,10,0.006944786097632823
0,9,0.008428358353054893
1,2,0.00016372082116388256
5,4,0.007497324735106031
10,3,0.011937845306663414
10,4,0.0038659431366694225
2,11,0.003122239123907706
1,3,0.004746856555936039
3,2,0.011731552858410158
11,3,0.0026440557726559386
10,5,0.002542149075034913
3,3,0.0013189363847683246
6,7,0.007606872888407218
8,4,0.00021124337969645468
3,4,0.0018945848870456222
7,4,0.015041067798095546
1,4,0.0034614556285394067
8,5,0.003537009239734771
2,12,0.005863900752303803
4,5,0.011880557364417696
5,5,0.006241381748017591
6,8,0.0035254931211016367
7,5,0.0008188057162832919
6,9,0.008037120664986503
6,10,0.0002466768787220443
0,10,0.010555354151701214
9,7,0.003514805381681394
0,11,0.003297060963655722
4,6,0.001649880904989319
10,6,0.006677880992755417
8,6,0.005859212488072182
