Environment,Episode,Boolean
0,0,1
2,0,1
7,0,1
11,0,1
10,0,1
1,0,1
7,1,1
9,0,1
4,0,1
7,2,1
3,0,1
5,0,0
6,0,0
8,0,0
11,1,1
7,3,1
0,1,0
2,1,0
11,2,1
7,4,1
10,1,0
9,1,1
1,1,0
9,2,1
0,2,1
4,1,0
3,1,0
5,1,0
6,1,0
8,1,0
4,2,1
10,2,1
8,2,1
9,3,1
2,2,0
10,3,1
6,2,1
11,3,0
7,5,1
1,2,0
1,3,1
6,3,1
9,4,1
2,3,1
0,3,0
4,3,1
7,6,1
5,2,1
7,7,1
3,2,0
4,4,1
6,4,1
3,3,1
8,3,0
2,4,1
9,5,1
1,4,1
11,4,1
10,4,0
9,6,1
1,5,1
8,4,1
2,5,1
0,4,0
2,6,1
5,3,0
8,5,1
3,4,1
7,8,0
8,6,1
4,5,0
2,7,1
7,9,1
6,5,0
8,7,1
10,5,1
3,5,1
5,4,1
11,5,0
8,8,1
9,7,0
1,6,1
5,5,1
10,6,1
0,5,1
4,6,1
7,10,1
1,7,1
5,6,1
9,8,1
1,8,1
3,6,1
11,6,1
7,11,1
6,6,1
9,9,1
5,7,1
4,7,1
9,10,1
10,7,1
2,8,1
11,7,1
0,6,1
1,9,1
3,7,1
9,11,1
11,8,1
2,9,1
4,8,1
5,8,1
9,12,1
8,9,1
0,7,1
3,8,1
6,7,1
11,9,1
10,8,1
2,10,1
7,12,1
6,8,1
5,9,1
9,13,1
4,9,1
10,9,1
3,9,1
2,11,1
11,10,1
7,13,1
9,14,1
2,12,1
1,10,0
10,10,1
7,14,1
6,9,1
5,10,1
2,13,1
9,15,1
11,11,1
3,10,1
8,10,0
0,8,0
1,11,1
5,11,1
7,15,1
2,14,1
10,11,1
9,16,1
1,12,1
4,10,1
7,16,1
9,17,1
2,15,1
3,11,1
1,13,1
5,12,1
8,11,1
3,12,1
10,12,1
1,14,1
0,9,1
7,17,1
5,13,1
8,12,1
2,16,1
9,18,1
1,15,1
0,10,1
11,12,1
6,10,0
6,11,1
0,11,1
5,14,1
8,13,1
4,11,1
11,13,1
1,16,1
8,14,1
9,19,1
4,12,1
10,13,1
2,17,1
0,12,1
5,15,1
11,14,1
2,18,1
10,14,1
9,20,1
3,13,0
11,15,1
7,18,0
3,14,1
8,15,1
11,16,1
6,12,1
9,21,1
10,15,1
2,19,1
5,16,1
3,15,1
0,13,1
6,13,1
1,17,1
11,17,1
9,22,1
6,14,1
4,13,0
8,16,1
7,19,1
1,18,1
3,16,1
8,17,1
9,23,1
2,20,1
6,15,1
4,14,1
10,16,0
1,19,1
5,17,0
6,16,1
11,18,1
8,18,1
0,14,0
7,20,0
2,21,1
3,17,0
9,24,1
6,17,1
3,18,1
1,20,1
4,15,1
3,19,1
6,18,1
9,25,1
8,19,1
11,19,1
3,20,1
10,17,0
0,15,1
0,16,1
11,20,1
5,18,0
6,19,1
10,18,1
7,21,0
2,22,0
4,16,1
1,21,0
7,22,1
9,26,0
8,20,1
3,21,0
0,17,0
11,21,0
5,19,0
6,20,1
4,17,1
7,23,1
10,19,0
5,20,1
1,22,1
10,20,1
2,23,0
4,18,1
9,27,0
8,21,0
3,22,0
0,18,0
11,22,0
6,21,0
9,28,1
10,21,1
7,24,0
5,21,0
1,23,0
2,24,0
4,19,0
8,22,0
3,23,0
0,19,0
11,23,0
6,22,0
9,29,0
10,22,0
11,24,1
7,25,0
5,22,0
1,24,0
2,25,0
4,20,0
8,23,0
3,24,0
9,30,1
0,20,0
6,23,0
10,23,0
11,25,0
7,26,0
5,23,0
1,25,0
8,24,1
2,26,0
4,21,0
6,24,1
3,25,0
9,31,0
0,21,0
10,24,0
11,26,0
7,27,0
5,24,0
1,26,0
8,25,0
2,27,0
4,22,0
6,25,0
3,26,0
9,32,0
0,22,0
10,25,0
5,25,1
11,27,0
6,26,1
7,28,0
1,27,0
8,26,0
2,28,0
4,23,0
3,27,0
9,33,0
0,23,0
10,26,0
5,26,0
11,28,0
6,27,0
7,29,0
1,28,0
8,27,0
2,29,0
4,24,0
3,28,0
9,34,0
0,24,0
10,27,0
5,27,0
11,29,0
6,28,0
7,30,0
1,29,0
8,28,0
2,30,0
4,25,0
3,29,0
9,35,0
0,25,0
10,28,0
5,28,0
11,30,0
6,29,0
7,31,0
8,29,1
1,30,0
2,31,0
4,26,0
5,29,1
3,30,0
9,36,0
0,26,0
11,31,1
10,29,0
11,32,1
6,30,0
7,32,0
8,30,0
1,31,0
2,32,0
4,27,0
3,31,1
5,30,0
4,28,1
9,37,0
0,27,0
10,30,0
11,33,0
6,31,0
7,33,0
8,31,0
1,32,0
2,33,0
3,32,0
5,31,0
4,29,0
9,38,0
0,28,0
10,31,1
11,34,0
6,32,0
7,34,0
4,30,1
8,32,0
1,33,0
2,34,0
0,29,1
3,33,0
5,32,0
10,32,1
9,39,0
11,35,0
6,33,0
7,35,0
4,31,0
8,33,0
1,34,0
7,36,1
9,40,1
2,35,0
0,30,0
3,34,0
5,33,0
6,34,1
10,33,0
11,36,1
4,32,0
8,34,0
4,33,1
1,35,0
7,37,0
9,41,0
2,36,0
0,31,0
3,35,0
5,34,0
8,35,1
6,35,0
8,36,1
2,37,1
7,38,1
10,34,0
4,34,1
11,37,0
9,42,1
11,38,1
9,43,1
9,44,1
10,35,1
2,38,1
3,36,1
1,36,0
10,36,1
0,32,0
5,35,0
9,45,1
6,36,0
11,39,1
8,37,0
7,39,0
9,46,1
4,35,0
6,37,1
11,40,1
0,33,1
8,38,1
5,36,1
4,36,1
2,39,0
3,37,0
1,37,0
10,37,0
6,38,1
6,39,1
8,39,1
2,40,1
7,40,0
9,47,0
1,38,1
9,48,1
11,41,0
9,49,1
0,34,0
5,37,0
9,50,1
4,37,0
3,38,0
10,38,1
5,38,1
9,51,1
11,42,1
3,39,1
0,35,1
1,39,1
6,40,0
8,40,0
11,43,1
9,52,1
2,41,0
7,41,1
1,40,1
10,39,1
5,39,1
8,41,1
9,53,1
4,38,0
3,40,0
0,36,0
4,39,1
7,42,1
6,41,0
11,44,0
2,42,0
1,41,0
5,40,1
9,54,1
10,40,0
7,43,1
2,43,1
6,42,1
1,42,1
8,42,0
7,44,1
5,41,1
8,43,1
4,40,1
3,41,0
0,37,0
11,45,0
9,55,1
4,41,1
7,45,1
10,41,0
5,42,1
2,44,1
7,46,1
6,43,0
4,42,1
1,43,0
8,44,1
3,42,1
0,38,1
9,56,1
6,44,1
1,44,1
1,45,1
11,46,0
6,45,1
9,57,1
10,42,0
5,43,1
11,47,1
2,45,0
7,47,0
4,43,0
