Environment,Episode,Robustness
2,0,-0.1645259088355477
4,0,-0.12052542545360152
10,0,-0.11971302836144677
1,0,-0.07983707672903
0,0,-0.09007678055272358
0,1,-0.1371123986455831
3,0,-0.0876326607136954
11,0,-0.09846607331042227
5,0,-0.10191647390831204
6,0,-0.09304253274360585
7,0,-0.08749150948211283
8,0,-0.10238657679685768
9,0,-0.09561797076343606
2,1,-0.07524374708148521
4,1,-0.10852087462194483
10,1,-0.09832954893666332
1,1,-0.100614300218175
0,2,-0.0897458033375273
6,1,-0.08434481077572147
3,1,-0.10356546000934719
7,1,-0.08362511379744018
11,1,-0.08515890473926292
0,3,-0.08889017035614794
5,1,-0.05047036757568395
8,1,-0.09817466704719377
9,1,-0.0807825924005468
0,4,-0.1453786638788112
2,2,-0.0975147047639449
7,2,-0.1322938103262609
8,2,-0.08103624071811415
4,2,-0.10316482075557423
10,2,-0.09010209268499719
1,2,-0.08075795017379714
7,3,-0.10399443561592654
6,2,-0.092450641977576
7,4,-0.08981298468722279
5,2,-0.08225712958248314
3,2,-0.0838222295993787
11,2,-0.043947390091755134
4,3,-0.09276157862031023
3,3,-0.12326653450523627
9,2,-0.09312818281728388
0,5,-0.0817319098487665
2,3,-0.07131037986689777
8,3,-0.09468880409548783
10,3,-0.07734281057539244
1,3,-0.07441106852695173
1,4,-0.1405992643070187
7,5,-0.08057096030344953
10,4,-0.07919959221985587
0,6,-0.0926202912243321
2,4,-0.07639510662778716
6,3,-0.07417044196863927
2,5,-0.12969632579789805
5,3,-0.08754921583002466
11,3,-0.055623029986672734
6,4,-0.10120488728022933
6,5,-0.14413633549756089
1,5,-0.066408091041715
4,4,-0.06381239306373337
3,4,-0.07635002465743493
9,3,-0.06712023149088583
10,5,-0.08782027849346835
9,4,-0.08377085509968112
8,4,-0.09625937858578544
2,6,-0.07136181212737606
6,6,-0.07967252066675966
7,6,-0.0590556722024891
11,4,-0.09201276809428838
4,5,-0.10118525980754738
11,5,-0.12536352291047692
0,7,-0.09006075560446304
6,7,-0.0633168072186552
2,7,-0.0966645516577272
5,4,-0.07172408229625613
0,8,-0.1076275230878508
8,5,-0.09353708838955534
3,5,-0.07465683436712053
1,6,-0.03539138077237419
2,8,-0.06664135926101102
10,6,-0.028246690902834614
2,9,-0.12890302522772934
4,6,-0.07240533880225467
9,5,-0.04871632961711968
5,5,-0.10032631402111487
0,9,-0.07521574405892609
5,6,-0.11281899841787606
5,7,-0.1606127778394781
7,7,-0.07492680527573538
10,7,-0.08873247151554108
4,7,-0.07029126108268978
0,10,-0.07735339587143768
9,6,-0.07231653183773981
10,8,-0.13912447227205246
7,8,-0.10993903189386263
2,10,-0.10728446730117182
2,11,-0.15511398557017703
10,9,-0.12145043740472856
11,6,-0.06779806944421839
2,12,-0.14114451046651227
6,8,-0.06876148844695355
1,7,-0.09292830290978815
11,7,-0.1229807224411439
7,9,-0.11412250100891942
1,8,-0.12558598348338187
9,7,-0.08347957239373478
8,6,-0.07794337122693289
3,6,-0.06352003613681435
9,8,-0.10553703439997865
5,8,-0.08959601552283579
3,7,-0.09970676600499208
