Environment,Episode,Robustness
8,0,-0.11657506713679659
0,0,-0.07783768172676223
1,0,-0.09603861726992197
2,0,-0.06253902436422633
3,0,-0.08351375706518012
4,0,-0.09777829550847411
5,0,-0.0981454140435555
6,0,-0.06274580397056594
7,0,-0.0633184344735321
9,0,-0.06880528802580141
10,0,-0.060999646342284344
11,0,-0.08711878819831219
8,1,-0.1063359048252027
10,1,-0.10039703412255263
0,1,-0.10316214407065856
1,1,-0.0878840555559473
2,1,-0.09576368124126726
3,1,-0.09155428562593589
4,1,-0.0927445009517108
5,1,-0.09604981535050058
6,1,-0.10101340479925068
7,1,-0.059095949075699455
9,1,-0.07667811539406791
11,1,-0.09128886549166138
8,2,-0.1029597427313611
8,3,-0.10374244605754088
8,4,-0.1303648371452096
10,2,-0.07115518253779539
0,2,-0.08727646337717851
1,2,-0.09695753116404922
2,2,-0.07406563629922205
3,2,-0.09576016926225517
4,2,-0.08234968436993094
5,2,-0.09207491778629595
6,2,-0.0954189922271197
7,2,-0.07761858719876692
9,2,-0.0909442919754549
11,2,-0.08579703221345328
9,3,-0.08963092594538132
11,3,-0.06765726168752018
8,5,-0.09120538948552435
10,3,-0.07609776299060562
0,3,-0.06379554748703323
1,3,-0.07518057712650707
2,3,-0.09460268188166192
3,3,-0.06053658969304315
4,3,-0.08367629418414503
5,3,-0.09362806972147235
6,3,-0.054303286808746284
7,3,-0.09756854229099945
5,4,-0.1425058910216637
9,4,-0.07700113902551464
11,4,-0.08488373721382333
5,5,-0.0846873564901389
8,6,-0.07036434209737714
10,4,-0.08680084517783111
2,4,-0.07988825412896104
2,5,-0.1597546678335561
6,4,-0.0792445172892354
0,4,-0.0819663139835266
1,4,-0.07805670318395125
3,4,-0.06358762706373007
4,4,-0.06343007016855431
7,4,-0.07341564830676904
10,5,-0.09891244463656652
9,5,-0.07711337914597984
11,5,-0.04736959046377505
5,6,-0.08907947433828003
8,7,-0.0819989201678733
4,5,-0.08121658903792152
8,8,-0.09578182588304049
2,6,-0.06442503371914536
4,6,-0.07892195580035415
6,5,-0.07208620463270922
0,5,-0.0775156151690709
1,5,-0.06548062557882856
3,5,-0.0585189608484821
7,5,-0.0795698242925151
10,6,-0.0760360785937561
8,9,-0.10257384898177131
10,7,-0.11608236079605198
0,6,-0.09318004390391686
9,6,-0.08942515982091839
7,6,-0.09341932405520537
11,6,-0.05708875167430749
5,7,-0.0570841549492484
2,7,-0.07965166960483996
4,7,-0.10062587389003647
0,7,-0.09275983752726236
6,6,-0.07288765894338842
2,8,-0.09335412725512005
5,8,-0.08010247748105911
9,7,-0.040948122584503435
10,8,-0.06721481026038836
0,8,-0.07282382166310494
5,9,-0.12029611039927436
9,8,-0.10761723758578971
5,10,-0.1363461713601329
2,9,-0.07462726233864185
1,6,-0.0516092477743902
3,6,-0.06096687308827871
2,10,-0.12461967359597272
4,8,-0.061043723689382365
11,7,-0.0887313632356377
9,9,-0.12076061880849935
1,7,-0.10056839452815211
8,10,-0.0606381433314821
4,9,-0.09105545370871865
3,7,-0.07038928042431405
7,7,-0.07230903358232312
11,8,-0.05472942101766291
1,8,-0.08918574741578678
0,9,-0.08037481594933354
3,8,-0.10773855219797109
4,10,-0.09012373979566975
6,7,-0.06357799694547948
4,11,-0.14951893380643955
1,9,-0.10330322836460198
9,10,-0.09253587414535148
11,9,-0.067977373745947
5,11,-0.056773685508350616
10,9,-0.08128512591919897
2,11,-0.07462069610994411
6,8,-0.051673594619258106
1,10,-0.1168294865873583
4,12,-0.09744550279658254
0,10,-0.07337622461217108
10,10,-0.06213583430194934
7,8,-0.038062380026655726
3,9,-0.09108174999780211
5,12,-0.10069726123876986
8,11,-0.08020961356648583
1,11,-0.08122128944532492
0,11,-0.06852145166948415
10,11,-0.0741434692327344
11,10,-0.08436463705741189
5,13,-0.12227701365873521
7,9,-0.10549246615072634
6,9,-0.08020854828045951
5,14,-0.08344010654922818
0,12,-0.10362446573060581
6,10,-0.1290333094113782
8,12,-0.10619932456552054
8,13,-0.09174472379648163
1,12,-0.08050334424830367
0,13,-0.1442460837327646
2,12,-0.07925573256623412
11,11,-0.10146483239339468
0,14,-0.12325476643061471
1,13,-0.14956807617341275
1,14,-0.1282900115536059
2,13,-0.12571206813201688
8,14,-0.09654234833032728
2,14,-0.15293704442204048
4,13,-0.03125721508969992
9,11,-0.07403587251436915
11,12,-0.1383862431098087
9,12,-0.13962238861690007
5,15,-0.1369489208942312
4,14,-0.13925309998975954
0,15,-0.07036178042586218
10,12,-0.04051587838776327
0,16,-0.13906394573058414
10,13,-0.12964019176494546
7,10,-0.09862912127277468
11,13,-0.04732000051382064
5,16,-0.15118249047096377
3,10,-0.07497480548120632
8,15,-0.07226283105564822
9,13,-0.09017599234949718
1,15,-0.07207176430318828
11,14,-0.13497978668356925
8,16,-0.08565843580665972
1,16,-0.09556459681006339
5,17,-0.09831591609276495
4,15,-0.10114987838770889
0,17,-0.0837386856994673
10,14,-0.08598588658847571
5,18,-0.1179344832785728
7,11,-0.08635857346994087
1,17,-0.11222023794450832
6,11,-0.07319064767375973
0,18,-0.0812269505392098
10,15,-0.10003239284371056
2,15,-0.10489425144758863
6,12,-0.14857075888102916
3,11,-0.023846117304645986
8,17,-0.08597654301514747
4,16,-0.10335811118411828
5,19,-0.10999076479318483
2,16,-0.08050567287422183
5,20,-0.1574924355719456
3,12,-0.11710850468929652
4,17,-0.10475390604544586
1,18,-0.09714048270442845
11,15,-0.05734889901124279
10,16,-0.0727032150875184
11,16,-0.10314249318135649
6,13,-0.05851530125448509
11,17,-0.10870927258240172
0,19,-0.08029571423172034
2,17,-0.06434375175950852
3,13,-0.0802632577909306
0,20,-0.13750870952285954
8,18,-0.07934741007064679
1,19,-0.1294883440004777
3,14,-0.11861867483270282
10,17,-0.03444289042787142
8,19,-0.11398720673363182
6,14,-0.13402351511823063
1,20,-0.15352942543364678
5,21,-0.07919571800635011
0,21,-0.10871602148568842
8,20,-0.14063057137329896
11,18,-0.04182020758003925
6,15,-0.12733321179930462
8,21,-0.0907423008035793
7,12,-0.044457864948400594
5,22,-0.14952232167544874
2,18,-0.05467487298661937
4,18,-0.06388773195312782
0,22,-0.09886647198087795
2,19,-0.14348428496165852
7,13,-0.11101260233479705
11,19,-0.06597572712459052
8,22,-0.12557526638671984
1,21,-0.14139164677750904
2,20,-0.1339502982735269
4,19,-0.0757322861933141
7,14,-0.08483570864212675
9,14,-0.06720309965113329
8,23,-0.08044813209321075
11,20,-0.09298512177272651
1,22,-0.08533525212925633
0,23,-0.0982513066842986
9,15,-0.13030012637014754
6,16,-0.0832028389065304
8,24,-0.13033292310195255
0,24,-0.16042722944183077
3,15,-0.10337729829948206
2,21,-0.07483051312952436
7,15,-0.08901595991231386
9,16,-0.09663538100462543
0,25,-0.09427075100175926
4,20,-0.08742313364825245
11,21,-0.10983760901989005
7,16,-0.12215283600228495
0,26,-0.10679070447330309
10,18,-0.053579397010407745
11,22,-0.13375318466980818
1,23,-0.11622268942895479
7,17,-0.07596916774183772
0,27,-0.08276884624602929
1,24,-0.1554688119868531
10,19,-0.12198755911438679
9,17,-0.11901372566117184
6,17,-0.059560526109006806
4,21,-0.07206893300256288
11,23,-0.0671517230736682
1,25,-0.08045925886057659
2,22,-0.05670144047799029
3,16,-0.0807183238776094
7,18,-0.08338326907417308
4,22,-0.054882050331342955
7,19,-0.14982764977970084
0,28,-0.11129107185639982
4,23,-0.14536558089284704
3,17,-0.11801680136925065
2,23,-0.05988939399444046
6,18,-0.08087142761253074
11,24,-0.08862033775978931
4,24,-0.11122341766008427
10,20,-0.0870423726725633
7,20,-0.09883608276737088
10,21,-0.1434744921108867
8,25,-0.05727217399825735
4,25,-0.08474592771021378
6,19,-0.1442467948236593
0,29,-0.12912266262481167
5,23,-0.03589090085061411
4,26,-0.16188567013383198
9,18,-0.09336244927804066
0,30,-0.14190880172860731
9,19,-0.15050972865375328
8,26,-0.11321937253992544
1,26,-0.0621874646643365
7,21,-0.06450379973305348
11,25,-0.10132380901222672
4,27,-0.12402396132091568
8,27,-0.14157058603405784
6,20,-0.09699918001179898
11,26,-0.14379263342212179
2,24,-0.08505302366502888
9,20,-0.1283502531318456
8,28,-0.15580315245062332
4,28,-0.1185012179093659
7,22,-0.13649510424928749
2,25,-0.12695229781934034
10,22,-0.11630923662458113
6,21,-0.10925869147837931
3,18,-0.11311882399425775
0,31,-0.09255441365770548
8,29,-0.08712037383650846
4,29,-0.0935045056014352
10,23,-0.1128409898194896
5,24,-0.07415683089213744
11,27,-0.11175386476603395
7,23,-0.07439969243700056
0,32,-0.08069666496212181
1,27,-0.04965050057537576
2,26,-0.1153487406532032
6,22,-0.09389430059188557
3,19,-0.09317745032366903
8,30,-0.12462897026974125
6,23,-0.1088023732300943
5,25,-0.13024564520445583
10,24,-0.043518540484102836
7,24,-0.10003701628566408
5,26,-0.1421451847708047
10,25,-0.13181218840905984
6,24,-0.15818545517206986
6,25,-0.16608571350995724
11,28,-0.08805206166712783
5,27,-0.1414109464090568
1,28,-0.08111713381543134
8,31,-0.0854691967660623
11,29,-0.15938751316971972
7,25,-0.13202169362701044
0,33,-0.08036338793753171
8,32,-0.14766294942858743
6,26,-0.1262487332024568
11,30,-0.12085485334159456
3,20,-0.07617725077337939
11,31,-0.14681285322587376
6,27,-0.0926226142013348
10,26,-0.06486595391953429
7,26,-0.09762464569553866
3,21,-0.116636204075683
1,29,-0.08656660990239996
11,32,-0.1389941777208685
0,34,-0.06138277768410744
10,27,-0.15415805572999067
9,21,-0.096790983317623
5,28,-0.08696476145644408
4,30,-0.019980674467016773
1,30,-0.08431210594194118
2,27,-0.07761601581127403
10,28,-0.1431260211591795
0,35,-0.11107290349168471
4,31,-0.1210040288746337
2,28,-0.12874003442257528
5,29,-0.11380368892951535
8,33,-0.11241323258004775
9,22,-0.07469365447819663
4,32,-0.08273669740014832
8,34,-0.08297003979937885
7,27,-0.07549025781609732
3,22,-0.06844986694081479
0,36,-0.10326523253736125
10,29,-0.095937802370565
9,23,-0.08899535202279658
6,28,-0.1135642015861796
2,29,-0.11783959889668592
11,33,-0.10741846764881365
9,24,-0.1567123332651882
4,33,-0.07160425773163034
11,34,-0.07748791757046138
9,25,-0.13087037573429355
9,26,-0.13746531298271497
7,28,-0.10190439017659637
1,31,-0.048072386923431215
8,35,-0.09686563655069191
2,30,-0.10913002789613115
10,30,-0.10610371383524687
11,35,-0.12608894647314361
8,36,-0.12349597036084346
3,23,-0.10154955456915551
7,29,-0.06601458219398754
9,27,-0.058157361899778465
5,30,-0.0636445053189053
4,34,-0.1032151289169967
6,29,-0.07196340584744441
4,35,-0.1501860051896979
2,31,-0.07283681965865654
8,37,-0.0892778348013196
5,31,-0.09181221255523848
0,37,-0.07212066930455961
9,28,-0.11076402017290003
6,30,-0.10554175973283096
7,30,-0.1270891056323652
1,32,-0.0962655320948132
9,29,-0.141223790830244
11,36,-0.11487659371546723
5,32,-0.14102566492871338
11,37,-0.1431684503138443
0,38,-0.0981387767260896
3,24,-0.060827419705547614
8,38,-0.09557538150249238
2,32,-0.08086985098589196
1,33,-0.1193241498716668
6,31,-0.1409248191410823
7,31,-0.12042354490191708
2,33,-0.10094914992957407
7,32,-0.10212229381099562
5,33,-0.08210150768115258
2,34,-0.11389756086689527
9,30,-0.0597706357661312
4,36,-0.07184453302207883
8,39,-0.06508861386113203
5,34,-0.1253337422589855
9,31,-0.04884703214078634
4,37,-0.11089733375257953
0,39,-0.08864914366602787
8,40,-0.11635314407228418
10,31,-0.05417681436746147
1,34,-0.0917439690833812
4,38,-0.11688621992088295
6,32,-0.07398525437039451
7,33,-0.05914213089642842
8,41,-0.0728698701525553
5,35,-0.10385249296596664
3,25,-0.05713906057618931
11,38,-0.040459987068160466
9,32,-0.06992310066980134
2,35,-0.07007478877397728
7,34,-0.1087020380596078
8,42,-0.06565943684649206
11,39,-0.12486591215640457
6,33,-0.1215453252253413
3,26,-0.09396895554127536
5,36,-0.06500756056108535
0,40,-0.10562015048129018
5,37,-0.11532770641183028
6,34,-0.07299594563393595
4,39,-0.061517780623482274
11,40,-0.11344903855615059
0,41,-0.09747791926859739
9,33,-0.0909967792227622
1,35,-0.070429283729696
3,27,-0.12486293620442514
5,38,-0.12825056790457645
6,35,-0.10031861717111078
1,36,-0.10978202978313524
3,28,-0.09889114083792758
2,36,-0.12877884280569254
6,36,-0.08786747416443583
8,43,-0.04885993290935217
5,39,-0.1289158204043609
4,40,-0.11449821598537478
2,37,-0.1395253674502301
2,38,-0.15829048174591637
4,41,-0.13641298662542117
2,39,-0.16068978857455957
6,37,-0.1029984512946571
7,35,-0.04323147243865112
11,41,-0.04295474918434615
8,44,-0.11735400759611421
4,42,-0.11781730172527984
