Environment,Episode,Robustness,Reward,End_Condition
0,0,-0.030689273471313224,-0.059127515836537886,reach_no_stay_collision
1,0,-0.057262288564574826,-0.057262288564574826,no_reach_collision
2,0,-0.1246941430214649,-0.1246941430214649,no_reach_no_collision
3,0,-0.10381746034679053,-0.10381746034679053,no_reach_no_collision
4,0,-0.0768225785643903,-0.0768225785643903,no_reach_no_collision
5,0,-0.13384092029990488,-0.13384092029990488,no_reach_no_collision
6,0,-0.1220031313065955,-0.1220031313065955,no_reach_no_collision
7,0,-0.08613345040220978,-0.08613345040220978,no_reach_collision
8,0,-0.19251080486228284,-0.19251080486228284,no_reach_no_collision
9,0,-0.18073833653081633,-0.18073833653081633,no_reach_no_collision
10,0,-0.0977590630698869,-0.0977590630698869,no_reach_no_collision
11,0,-0.16144661816787334,-0.16144661816787334,no_reach_no_collision
0,1,-0.07595202150083756,-0.07595202150083756,no_reach_collision
1,1,-0.1305041124206338,-0.1305041124206338,no_reach_no_collision
2,1,-0.14557551280381495,-0.14557551280381495,no_reach_no_collision
3,1,-0.15925214775569382,-0.15925214775569382,no_reach_no_collision
4,1,-0.18578836009686933,-0.18578836009686933,no_reach_no_collision
5,1,-0.08439612145376221,-0.08439612145376221,no_reach_no_collision
6,1,-0.10826992214038093,-0.10826992214038093,no_reach_no_collision
7,1,-0.13923152510597359,-0.13923152510597359,no_reach_no_collision
8,1,-0.09025343099639696,-0.09025343099639696,no_reach_no_collision
9,1,-0.11997866572481732,-0.11997866572481732,no_reach_no_collision
10,1,-0.09065636744360893,-0.09065636744360893,no_reach_no_collision
11,1,-0.10086171285477598,-0.10086171285477598,no_reach_no_collision
0,2,-0.11811614307919761,-0.11811614307919761,no_reach_no_collision
1,2,-0.06433370773614504,-0.06433370773614504,no_reach_no_collision
2,2,-0.13634521799701455,-0.13634521799701455,no_reach_no_collision
3,2,-0.15340709842036876,-0.15340709842036876,no_reach_no_collision
4,2,-0.11080400778973502,-0.11080400778973502,no_reach_no_collision
5,2,-0.14209818449481207,-0.14209818449481207,no_reach_no_collision
6,2,-0.14993518600158215,-0.14993518600158215,no_reach_no_collision
7,2,-0.05907578928026512,-0.05907578928026512,no_reach_no_collision
8,2,-0.0744549063627132,-0.0744549063627132,no_reach_collision
9,2,-0.07432795050621882,-0.07432795050621882,reach_no_stay_no_collision
10,2,-0.18384940569049088,-0.18384940569049088,no_reach_no_collision
11,2,-0.07349926703853821,-0.07349926703853821,no_reach_no_collision
0,3,-0.07902540126551011,-0.07902540126551011,no_reach_no_collision
1,3,-0.17882672476878356,-0.17882672476878356,no_reach_collision
2,3,-0.0980614401596138,-0.0980614401596138,no_reach_no_collision
3,3,-0.16136246765041584,-0.16136246765041584,no_reach_no_collision
4,3,-0.15477517377867459,-0.15477517377867459,no_reach_no_collision
5,3,-0.13396750881370031,-0.13396750881370031,no_reach_no_collision
6,3,-0.12781363438881535,-0.12781363438881535,no_reach_no_collision
7,3,-0.09054757378637898,-0.09054757378637898,no_reach_no_collision
8,3,-0.10241207981873841,-0.10241207981873841,no_reach_no_collision
9,3,-0.07856180475572531,-0.07856180475572531,no_reach_no_collision
10,3,-0.15112703023809315,-0.15112703023809315,no_reach_no_collision
11,3,-0.0753930547866814,-0.0753930547866814,no_reach_no_collision
0,4,-0.044514224475457304,-0.044514224475457304,no_reach_no_collision
1,4,-0.24180359744192734,-0.24180359744192734,no_reach_no_collision
2,4,-0.1092477069207871,-0.1092477069207871,no_reach_no_collision
3,4,-0.08459208035364922,-0.08459208035364922,no_reach_no_collision
4,4,-0.16030340166825324,-0.16030340166825324,no_reach_no_collision
