Environment,Episode,Robustness,Reward,End_Condition
0,0,-0.16969329380255854,-0.04573034,no_part_completed
0,1,-0.17559568177257948,-0.021676026,no_part_completed
0,2,-0.18012002734413768,-0.014535725,no_part_completed
0,3,-0.1666087936296776,-0.04269286,no_part_completed
0,4,-0.20960898740629835,-0.025465794,no_part_completed
0,5,-0.17889858303413692,-0.030468807,no_part_completed
0,6,-0.18291339732463568,-0.03235839,no_part_completed
0,7,-0.19478824206637727,-0.04316404,no_part_completed
0,8,-0.18634604643894243,-0.03451877,no_part_completed
0,9,-0.20388344815867032,-0.04752767,no_part_completed
0,10,-0.19706420700163935,-0.05116764,no_part_completed
0,11,-0.21161915903428705,-0.043929663,no_part_completed
0,12,-0.20185523791301774,-0.052327033,no_part_completed
0,13,-0.22396294425929658,-0.03242239,no_part_completed
0,14,-0.19619099068067664,-0.03474629,no_part_completed
0,15,-0.2109581931661973,-0.034764014,no_part_completed
0,16,-0.20105129756770532,-0.015898649,no_part_completed
0,17,-0.21301881577140958,-0.030537859,no_part_completed
0,18,-0.21120639367697475,-0.03416034,no_part_completed
0,19,-0.213810754018706,-0.021028252,no_part_completed
0,20,-0.20293850727594537,-0.02113861,no_part_completed
0,21,-0.1965956140393153,-0.01383294,no_part_completed
0,22,-0.2025690136471686,-0.023687089,no_part_completed
0,23,-0.20461845879888568,-0.014196978,no_part_completed
0,24,-0.214436092039514,-0.01862545,no_part_completed
0,25,-0.211928809195761,-0.021187516,no_part_completed
0,26,-0.2136963580199951,-0.0119420355,no_part_completed
0,27,-0.20903951700886964,-0.02266664,no_part_completed
0,28,-0.19884367203399544,-0.0025386715,no_part_completed
0,29,-0.21407340736395863,-0.0023807,no_part_completed
0,30,-0.21016901980134334,-0.0042869383,no_part_completed
0,31,-0.2188586959785633,-0.0135643305,no_part_completed
0,32,-0.21831348071209455,-0.011168049,no_part_completed
0,33,-0.21813673230709885,-0.012201704,no_part_completed
0,34,-0.2152010413389533,-0.011356919,no_part_completed
0,35,-0.21711158717442733,-0.0014127368,no_part_completed
0,36,-0.18863352861699534,-0.1331182,first_part_completed_but_not_second
0,37,-0.20076628870918173,-0.10865261,first_part_completed_but_not_second
0,38,-0.1942112567038072,-0.13844246,first_part_completed_but_not_second
0,39,-0.1912067434572041,-0.087603815,first_part_completed_but_not_second
0,40,-0.1625777128846045,-0.10934208,first_part_completed_but_not_second
0,41,-0.1694026515171452,-0.13707873,first_part_completed_but_not_second
0,42,-0.1672562844231893,-0.08340157,first_part_completed_but_not_second
0,43,-0.15982599257793131,-0.09957483,first_part_completed_but_not_second
0,44,-0.15640823450818425,-0.080873355,first_part_completed_but_not_second
0,45,-0.15175494976548626,-0.06603119,first_part_completed_but_not_second
