Environment,Episode,Robustness
11,0,-0.046522381398050955
2,0,0.004348893780388555
6,0,-0.02247647822736482
0,0,-0.03280539663011245
10,0,0.0001196685920145657
3,0,0.0012728812037127238
0,1,0.0016482864924749138
4,0,-0.0324252913728937
3,1,0.007748541100897163
0,2,-0.02206063050718352
8,0,0.0015589566017566482
4,1,-0.05993979439253459
0,3,0.004118052510585012
1,0,-0.0009731845376917229
5,0,-0.004608875452258569
7,0,-0.014395717264287466
9,0,-0.0052652878222748875
11,1,-0.06177854117724969
2,1,-0.03327375903386551
9,1,0.0009907658767634095
6,1,-0.050745963216558554
10,1,-0.019221447703231028
3,2,-0.08545757201701487
6,2,-0.02379546919860352
5,1,-0.02087798855217023
10,2,0.0009585697456017742
8,1,-0.01657893991098779
4,2,-0.019512640125859005
1,1,-0.03605502333787895
7,1,0.005331276499404477
7,2,-0.08620517094650713
6,3,-0.031300957463489876
0,4,-0.004795400110675141
0,5,0.0037369333213570707
3,3,-0.023451534364654344
6,4,-0.0492974553494433
11,2,-0.010758358517187955
2,2,-0.014076718889330413
2,3,-0.06619730921021283
9,2,-0.011636297689469877
3,4,-0.026986802106028763
3,5,0.0003144827028136489
5,2,-0.034033450232432275
10,3,-0.004950241910460552
10,4,-0.0330069605190287
3,6,-0.025997542220419067
8,2,-0.03743022445046698
4,3,-0.03944576845226533
1,2,-0.030522101288911984
1,3,-0.07833449178351135
4,4,-0.02893935039946469
4,5,-0.05311475609841579
10,5,0.0014421085288730921
1,4,0.00350661375678004
1,5,-0.13166887064015304
7,3,-0.04006396022874935
6,5,-0.023071892431424646
9,3,-0.024125083560037976
0,6,-0.019011194869080556
7,4,0.0024842300786735334
0,7,0.005745192814424052
11,3,-0.014721201541072329
2,4,-0.0402156421369923
6,6,-0.021602247373473136
0,8,-0.029554201927482898
1,6,0.003760139131741398
3,7,-0.025705363723033163
5,3,-0.01970475693624393
3,8,-0.05593971007460356
6,7,0.0021645824876597164
6,8,-0.040326963900756685
6,9,-0.04739456887520124
8,3,-0.07818636096332066
6,10,-0.02499706477440879
6,11,-0.023036618183792733
4,6,-0.014031562849195715
11,4,-0.038305029277680896
10,6,-0.03620983010063994
8,4,0.005710475385782864
9,4,-0.009442072074811864
7,5,-0.015296044694677862
2,5,-0.0357595149822067
0,9,-0.0059331327225231115
1,7,-0.0026296696160602213
5,4,-0.03794737496040489
5,5,-0.08167723946604802
3,9,-0.01063754929799313
7,6,-0.022996627773066314
6,12,-0.017467295226574576
1,8,0.002223498002767294
6,13,-0.0359303559714957
4,7,-0.057959248729581705
11,5,-0.013327825794248835
10,7,-0.06900288997239538
7,7,0.0008187833985962879
10,8,-0.0266087813299113
1,9,-0.025403919124746824
1,10,-0.14079312000814526
