Environment,Episode,Robustness,End_Condition
2,0,-0.05375265589978839,collision
3,0,-0.055638963174370545,collision
7,0,-0.03291406101018565,collision
9,0,-0.03699196961221342,collision
11,0,-0.0347469085470935,collision
10,0,-0.03109252060931694,collision
10,1,-0.032895684441099554,collision
10,2,-0.03097059836315465,collision
3,1,0.0003068586717982734,perfect
9,1,-0.031125801983317127,collision
6,0,-0.034895921788702794,collision
0,0,-0.023768762032199717,too_many_steps
1,0,-0.02738558262558169,too_many_steps
4,0,-0.02654085787202535,too_many_steps
5,0,-0.06106093914361328,too_many_steps
8,0,-0.10117934306841174,too_many_steps
2,1,-0.012620762659602276,too_many_steps
7,1,-0.05153616568734724,too_many_steps
11,1,-0.0459938533682184,too_many_steps
2,2,-0.032510036347664834,collision
8,1,0.001575340728610146,perfect
5,1,-0.031586325739806256,collision
7,2,-0.031005785000906328,collision
10,3,-0.026771832028681174,too_many_steps
3,2,-0.02365930627951009,too_many_steps
9,2,-0.03273474248436763,too_many_steps
9,3,-0.09657108256911302,collision
6,1,-0.05893275335798431,too_many_steps
10,4,0.0010158317250154973,perfect
11,2,-0.03846231317713866,collision
0,1,-0.022430448470459937,too_many_steps
1,1,-0.027433515945141894,too_many_steps
4,1,-0.017410777842010547,too_many_steps
1,2,-0.038323802815161054,collision
3,3,-0.03216176418496156,collision
2,3,-0.008166794141031102,too_many_steps
8,2,-0.009041717993551183,too_many_steps
8,3,-0.056740998411859644,collision
5,2,-0.011691909680627346,too_many_steps
7,3,-0.019476862487290837,too_many_steps
3,4,-0.03475290385182798,collision
3,5,-0.07071465667510135,collision
9,4,-0.028804565929009276,too_many_steps
0,2,-0.03521679479300135,collision
6,2,-0.008540002547495956,too_many_steps
6,3,-0.0320797751782599,collision
11,3,0.010772624091259357,perfect
10,5,-0.0054476216336528036,too_many_steps
0,3,0.0005709685411165143,perfect
0,4,-0.07998344113612346,collision
4,2,-0.09781374077875202,too_many_steps
11,4,0.005959868168863555,perfect
4,3,-0.03877255470431125,collision
5,3,-0.08959010700915788,collision
5,4,-0.040164583233908153,collision
1,3,-0.01275511166105902,too_many_steps
7,4,0.0020928996549826467,perfect
1,4,-0.04451600943864867,collision
10,6,-0.0423923640324089,collision
2,4,-0.018803422606521833,too_many_steps
1,5,-0.030252265307635792,collision
4,4,-0.03205478576674699,collision
7,5,-0.038813404995549194,collision
8,4,-0.01108060085665849,too_many_steps
2,5,-0.061122224852900864,collision
2,6,-0.030738025109451842,collision
3,6,-0.004874533029757114,too_many_steps
3,7,-0.04554097875096359,collision
9,5,-0.0309274271267205,too_many_steps
6,4,-0.0011573720456886233,too_many_steps
1,6,-0.034060390468491866,collision
8,5,-0.03281477940667189,collision
0,5,-0.06696156491337861,too_many_steps
11,5,-0.07132425505900218,too_many_steps
5,5,-0.02265234599461408,too_many_steps
9,6,-0.03523090931639315,collision
10,7,-0.02472669975591599,too_many_steps
10,8,-0.1586880442069152,collision
4,5,-0.01917223650924898,too_many_steps
7,6,-0.023517860315315307,too_many_steps
2,7,-0.025998043118827665,too_many_steps
3,8,-0.039999926857468004,too_many_steps
2,8,-0.04719637008267431,collision
2,9,0.0068580539628778775,perfect
6,5,-0.016024140819676968,too_many_steps
1,7,-0.0022245556121287813,too_many_steps
1,8,0.00945780470116493,perfect
8,6,-0.007195673146792675,too_many_steps
8,7,-0.07012996880155212,collision
0,6,-0.03730279380306083,too_many_steps
2,10,-0.03128559027844861,collision
11,6,-0.06272894678538761,too_many_steps
6,6,-0.03541998778627172,collision
