Environment,Episode,Step,Reward
0,0,0,-0.07243020251819725
1,0,0,-0.056476294714637346
0,1,0,-0.08275558618971225
1,1,0,-0.030660566962935416
0,2,0,-0.034695995665662276
1,2,0,-0.030439070023037515
0,3,0,-0.1280781130311125
1,3,0,-0.10243785625430321
0,4,0,-0.03943737271096344
1,4,0,-0.05829921819043335
0,5,0,-0.030781011630773483
1,5,0,-0.03526912562550556
0,6,0,-0.03054447228305748
1,6,0,-0.06877838434057339
0,7,0,-0.11196759564530968
1,7,0,-0.030798608782213806
0,8,0,-0.03048788340977709
1,8,0,-0.13707550311643366
0,9,0,-0.06620793818775864
1,9,0,-0.030516361535869146
0,10,0,-0.07779114041186196
1,10,0,-0.1251981793233509
0,11,0,-0.076741222311875
1,11,0,-0.14834289544456636
0,12,0,-0.032500106576991594
1,12,0,-0.14266945395020514
0,13,0,-0.030574184102115817
1,13,0,-0.03843159972212867
0,14,0,-0.05295786491973482
1,14,0,-0.060857619277035035
0,15,0,-0.07116735538772263
1,15,0,-0.06408127002704367
0,16,0,-0.061801808198035976
1,16,0,-0.04869665420712277
0,17,0,-0.0719560940914986
1,17,0,-0.11173024435171196
0,18,0,-0.20124169432219668
1,18,0,-0.11323017051401606
0,19,0,-0.07978534075717253
1,19,0,-0.030219427738635413
0,20,0,-0.03385913300220013
1,20,0,-0.030287692645541164
0,21,0,-0.030038527352587826
1,21,0,-0.15866328583335917
0,22,0,-0.03163902767828457
1,22,0,-0.037719440309442215
0,23,0,-0.11977545337773311
1,23,0,-0.044660789005199084
0,24,0,-0.031347099649759035
1,24,0,-0.06624396940231199
0,25,0,-0.038360007854065056
1,25,0,-0.06068396333236005
0,26,0,-0.15472415049575497
1,26,0,-0.048270341345596796
0,27,0,-0.09529434018568103
1,27,0,-0.11603931405704986
0,28,0,-0.03086970213392531
1,28,0,-0.13788394070714033
0,29,0,-0.04023187774556328
1,29,0,-0.11855126160954897
0,30,0,-0.03088318131179373
1,30,0,-0.0850755099909558
0,31,0,-0.04036913093112514
1,31,0,-0.06250700393135306
0,32,0,-0.04271032202534676
1,32,0,-0.04583870965174741
0,33,0,-0.030479575000402322
1,33,0,-0.18716239305249055
0,34,0,-0.14283826307085543
1,34,0,-0.07076963464660542
0,35,0,-0.1118753707109882
1,35,0,-0.030165612098813552
0,36,0,-0.030308168568298984
1,36,0,-0.03017608620434769
0,37,0,-0.1582212668889514
1,37,0,-0.030983722946640077
0,38,0,-0.034779170518364794
1,38,0,-0.13304441262436822
0,39,0,-0.05219002784228011
1,39,0,-0.05737735146668932
0,40,0,-0.037668949093553436
1,40,0,-0.08468895139913159
0,41,0,-0.1392214056060758
1,41,0,-0.05876858604964086
0,42,0,-0.03860483198092486
1,42,0,-0.030324297364672907
0,43,0,-0.030558342673672412
1,43,0,-0.043849466345503865
0,44,0,-0.03638308286368527
1,44,0,-0.03925291580356206
0,45,0,-0.03059201994826589
1,45,0,-0.03664844472108007
0,46,0,-0.10371003740689044
1,46,0,-0.05027211637611258
0,47,0,-0.11862519607189072
1,47,0,-0.06279775022306822
0,48,0,-0.03327374837204289
1,48,0,-0.030443580683402832
0,49,0,-0.10676418235841552
1,49,0,-0.07012058310826624
0,50,0,-0.030528216217984756
1,50,0,-0.03986952755164454
0,51,0,-0.08568112193572354
1,51,0,-0.06603055107159252
0,52,0,-0.04655325538798882
1,52,0,-0.030749004741474434
0,53,0,-0.07111369565267948
1,53,0,-0.043343852946090014
0,54,0,-0.030060805906484918
1,54,0,-0.03061195820104292
0,55,0,-0.0466313571419361
1,55,0,-0.10131726504376795
0,56,0,-0.030243595780638493
1,56,0,-0.0397139683130113
0,57,0,-0.134331657027098
1,57,0,-0.12001343387494277
0,58,0,-0.03029797361562774
1,58,0,-0.03945384079874276
0,59,0,-0.036072969815741956
1,59,0,-0.030582165495622888
0,60,0,-0.030170112467819726
1,60,0,-0.047810005304729716
0,61,0,-0.030454320500140866
1,61,0,-0.1294433083099918
0,62,0,-0.05633244628180957
1,62,0,-0.148178548876887
0,63,0,-0.12478567360916042
1,63,0,-0.036292290504973096
0,64,0,-0.06167604103418496
1,64,0,-0.11030245916778826
0,65,0,-0.04744941862144947
1,65,0,-0.08070480257420073
0,66,0,-0.03087469668581004
1,66,0,-0.030299800280159606
0,67,0,-0.12377500505203971
1,67,0,-0.20905573916915066
0,68,0,-0.09254218761161022
1,68,0,-0.1529513982450832
0,69,0,-0.03219627333660542
1,69,0,-0.031644071852425834
0,70,0,-0.0344335832466444
1,70,0,-0.031884241492003265
0,71,0,-0.06614505851877325
1,71,0,-0.03886590058928656
0,72,0,-0.04580711815421501
1,72,0,-0.03052235772968611
0,73,0,-0.19736941467832836
1,73,0,-0.12460531602766835
0,74,0,-0.13368892450116107
1,74,0,-0.0974467493239044
0,75,0,-0.16952201862368566
1,75,0,-0.03690751090041468
0,76,0,-0.030380404235200983
1,76,0,-0.030974392044735757
0,77,0,-0.03424120064177462
1,77,0,-0.04923263246355879
0,78,0,-0.04212993199920537
1,78,0,-0.03171715244177028
0,79,0,-0.051224104656043434
1,79,0,-0.03008751101585963
0,80,0,-0.05427559616831787
1,80,0,-0.045077502365648114
0,81,0,-0.15332560139967602
1,81,0,-0.030742405870344252
0,82,0,-0.05291977793346757
1,82,0,-0.10564367490315242
0,83,0,-0.030049249033222536
1,83,0,-0.054186729933185296
0,84,0,-0.046527483559908
1,84,0,-0.0832684528568868
0,85,0,-0.0706605335524352
1,85,0,-0.030129753893329673
0,86,0,-0.03027452948011344
1,86,0,-0.0805149502952409
0,87,0,-0.14425525072468814
1,87,0,-0.05202707661893949
0,88,0,-0.05822256091938505
1,88,0,-0.03478976275410154
0,89,0,-0.11051549641997936
1,89,0,-0.03845305679254322
0,90,0,-0.1941994387247348
1,90,0,-0.08185739682818666
0,91,0,-0.09741563522867894
1,91,0,-0.18778571282278594
0,92,0,-0.047315639240401455
1,92,0,-0.05517089851195571
0,93,0,-0.03000109668762725
1,93,0,-0.03383897737249113
0,94,0,-0.03039440413058216
1,94,0,-0.04248441910829212
0,95,0,-0.036528163689752646
1,95,0,-0.030328507778762483
0,96,0,-0.049900226615582244
1,96,0,-0.050741390613369367
0,97,0,-0.042704721061362624
1,97,0,-0.07108110022247263
0,98,0,-0.0674781698241418
1,98,0,-0.056116812419535575
0,99,0,-0.05245624949743337
1,99,0,-0.051775507952824235
0,100,0,-0.0885655096942667
1,100,0,-0.041540958818967785
0,101,0,-0.05080823518005688
1,101,0,-0.06495304759460385
0,102,0,-0.03557839951058143
1,102,0,-0.1928117203711844
0,103,0,-0.03029173130472129
1,103,0,-0.05416024625917773
0,104,0,-0.030268793944536243
1,104,0,-0.0768619983586245
0,105,0,-0.08292040782757659
1,105,0,-0.037923159204521405
0,106,0,-0.030440524284921975
1,106,0,-0.07898741981190356
0,107,0,-0.030451859852416222
1,107,0,-0.03427162557929814
0,108,0,-0.12092034897594926
1,108,0,-0.030711259207814628
0,109,0,-0.03362076526987279
1,109,0,-0.0728238433946769
0,110,0,-0.08323950273729258
1,110,0,-0.03225424431892073
0,111,0,-0.03804796825549482
1,111,0,-0.03148945719492824
0,112,0,-0.03014657461315502
1,112,0,-0.12288337688097854
0,113,0,-0.05178904425313961
1,113,0,-0.030394697022936918
0,114,0,-0.03966821387074371
1,114,0,-0.11769975326473221
0,115,0,-0.07313692770667937
1,115,0,-0.033102962563273185
0,116,0,-0.08072433888532944
1,116,0,-0.13888559032378192
0,117,0,-0.044930516616453545
1,117,0,-0.059352003492076144
0,118,0,-0.08732613354621002
1,118,0,-0.15023100217556865
0,119,0,-0.17180007664585142
1,119,0,-0.03258270932566673
0,120,0,-0.08412266234332386
1,120,0,-0.1267320162334124
0,121,0,-0.06186021525789302
1,121,0,-0.030078406546670673
0,122,0,-0.030065866770917063
1,122,0,-0.058517725551952934
0,123,0,-0.030011727128591802
1,123,0,-0.04363517337153501
0,124,0,-0.030036608856648286
1,124,0,-0.05522781712783746
0,125,0,-0.04936396904931811
1,125,0,-0.10879390160384463
0,126,0,-0.05365313147733729
1,126,0,-0.03530628160651697
0,127,0,-0.06785740108976208
1,127,0,-0.08283187537427508
