Environment,Episode,Step,Robustness
0,0,0,-0.0035323551923340246
1,0,0,-0.0005930716729295633
0,1,0,-0.010256221539184235
1,1,0,-0.0006605669629354133
0,2,0,-0.004695995665662273
1,2,0,-0.0004390700230375126
0,3,0,-9.8420538891867e-05
1,3,0,-0.0001468685498326669
0,4,0,-0.00024604795582290617
1,4,0,-3.228653222208874e-05
0,5,0,-0.0005516051314817839
1,5,0,-0.0006159223388746762
0,6,0,-0.0002960436515812813
1,6,0,-0.006188261795277783
0,7,0,-0.004906131395605345
1,7,0,-0.0007986087822138034
0,8,0,-0.0004878834097770887
1,8,0,-0.007273591657752428
0,9,0,-0.0006410543743960856
1,9,0,-0.0005163615358691441
0,10,0,-0.0006073625243479749
1,10,0,-0.0005611830478635636
0,11,0,-0.0005433538804705922
1,11,0,-2.2142791959590957e-05
0,12,0,-7.053964376135119e-05
1,12,0,-0.0003116858451175028
0,13,0,-0.0005741841021158142
1,13,0,-0.008431599722128669
0,14,0,-0.010538136836169526
1,14,0,-0.0001626086536592429
0,15,0,-0.0006713909131273767
1,15,0,-0.0041481546396810835
0,16,0,-1.624971412073073e-05
1,16,0,-0.0001867150158601505
0,17,0,-0.009264339723971903
1,17,0,-0.00015739723590292576
0,18,0,-0.0020862602354352715
1,18,0,-0.0015362817632448185
0,19,0,-0.000263591438235445
1,19,0,-0.00021942773863541098
0,20,0,-0.0038591330022001227
1,20,0,-0.0002876926455411613
0,21,0,-3.852735258782353e-05
1,21,0,-0.007064197259796479
0,22,0,-0.00027986219854693115
1,22,0,-0.007143725626085498
0,23,0,-0.0004583348890746068
1,23,0,-0.0006829057247153408
0,24,0,-0.0013470996497590322
1,24,0,-0.0007518031191417161
0,25,0,-0.008360007854065054
1,25,0,-0.000436431297177204
0,26,0,-0.00025668409045085175
1,26,0,-0.00029610749674028464
0,27,0,-0.0008907044972446369
1,27,0,-0.00040885646120711674
0,28,0,-0.0008697021339253083
1,28,0,-0.0012717917598452887
0,29,0,-0.0004052758218140197
1,29,0,-0.010154811313675152
0,30,0,-0.0008831813117937265
1,30,0,-0.0001540704634987386
0,31,0,-0.0006090966001701149
1,31,0,-0.0004534817278967415
0,32,0,-8.156145413835622e-05
1,32,0,-0.003453697578305888
0,33,0,-0.00047957500040232
1,33,0,-0.00024613973535797876
0,34,0,-0.00012936448475306048
1,34,0,-0.0017721871768192551
0,35,0,-0.0005172552252372502
1,35,0,-0.0001656120988135501
0,36,0,-0.0003081685682989818
1,36,0,-0.000176086204347687
0,37,0,-0.0009941007398352741
1,37,0,-0.0009837229466400747
0,38,0,-0.00477917051836479
1,38,0,-0.0006869366398102213
0,39,0,-0.0001471616052513558
1,39,0,-6.37749018207838e-05
0,40,0,-0.0005112053635640476
1,40,0,-0.001711101031354658
0,41,0,-0.00039980566975966747
1,41,0,-0.00037151723662249767
0,42,0,-0.0007810180727430421
1,42,0,-0.00020539153767409196
0,43,0,-0.0005583426736724094
1,43,0,-0.00029057954789590487
0,44,0,-0.006383082863685273
1,44,0,-0.00925291580356206
0,45,0,-0.0005920199482658886
1,45,0,-7.605181972112143e-05
0,46,0,-0.0013918679872147108
1,46,0,-0.007883336653367283
